Data Set 1:Time(min),Data Set 1:Temperature(°C)
0.000000,72.3
0.033333,72.3
0.066667,72.3
0.100000,72.2
0.133333,72.2
0.166667,72.1
0.200000,72.1
0.233333,72.1
0.266667,72.0
0.300000,72.0
0.333333,72.0
0.366667,71.9
0.400000,71.9
0.433333,71.8
0.466667,71.8
0.500000,71.8
0.533333,71.8
0.566667,71.7
0.600000,71.7
0.633333,71.7
0.666667,71.7
0.700000,71.6
0.733333,71.6
0.766667,71.5
0.800000,71.5
0.833333,71.5
0.866667,71.5
0.900000,71.4
0.933333,71.4
0.966667,71.4
1.000000,71.4
1.033333,71.3
1.066667,71.3
1.100000,71.3
1.133333,71.2
1.166667,71.2
1.200000,71.2
1.233333,71.2
1.266667,71.2
1.300000,71.1
1.333333,71.1
1.366667,71.1
1.400000,71.1
1.433333,71.0
1.466667,71.0
1.500000,71.0
1.533333,70.9
1.566667,70.9
1.600000,70.9
1.633333,70.9
1.666667,70.9
1.700000,70.8
1.733333,70.8
1.766667,70.8
1.800000,70.8
1.833333,70.7
1.866667,70.7
1.900000,70.7
1.933333,70.7
1.966667,70.7
2.000000,70.6
2.033333,70.6
2.066667,70.6
2.100000,70.6
2.133333,70.5
2.166667,70.5
2.200000,70.5
2.233333,70.5
2.266667,70.4
2.300000,70.4
2.333333,70.4
2.366667,70.4
2.400000,70.4
2.433333,70.3
2.466667,70.3
2.500000,70.3
2.533333,70.3
2.566667,70.2
2.600000,70.2
2.633333,70.2
2.666667,70.2
2.700000,70.2
2.733333,70.2
2.766667,70.1
2.800000,70.1
2.833333,70.1
2.866667,70.1
2.900000,70.1
2.933333,70.0
2.966667,70.0
3.000000,70.0
3.033333,70.0
3.066667,69.9
3.100000,69.9
3.133333,69.9
3.166667,69.9
3.200000,69.8
3.233333,69.8
3.266667,69.8
3.300000,69.8
3.333333,69.8
3.366667,69.8
3.400000,69.8
3.433333,69.7
3.466667,69.7
3.500000,69.7
3.533333,69.7
3.566667,69.7
3.600000,69.6
3.633333,69.6
3.666667,69.6
3.700000,69.6
3.733333,69.6
3.766667,69.5
3.800000,69.5
3.833333,69.5
3.866667,69.5
3.900000,69.5
3.933333,69.4
3.966667,69.4
4.000000,69.4
4.033333,69.4
4.066667,69.4
4.100000,69.4
4.133333,69.3
4.166667,69.3
4.200000,69.3
4.233333,69.3
4.266667,69.3
4.300000,69.2
4.333333,69.2
4.366667,69.2
4.400000,69.2
4.433333,69.2
4.466667,69.2
4.500000,69.1
4.533333,69.1
4.566667,69.1
4.600000,69.1
4.633333,69.1
4.666667,69.1
4.700000,69.0
4.733333,69.0
4.766667,69.0
4.800000,69.0
4.833333,69.0
4.866667,69.0
4.900000,68.9
4.933333,68.9
4.966667,68.9
5.000000,68.9
5.033333,68.9
5.066667,68.9
5.100000,68.9
5.133333,68.8
5.166667,68.8
5.200000,68.8
5.233333,68.8
5.266667,68.8
5.300000,68.7
5.333333,68.7
5.366667,68.7
5.400000,68.7
5.433333,68.6
5.466667,68.7
5.500000,68.6
5.533333,68.6
5.566667,68.6
5.600000,68.6
5.633333,68.6
5.666667,68.5
5.700000,68.5
5.733333,68.5
5.766667,68.5
5.800000,68.5
5.833333,68.5
5.866667,68.5
5.900000,68.4
5.933333,68.4
5.966667,68.4
6.000000,68.4
6.033333,68.4
6.066667,68.4
6.100000,68.3
6.133333,68.3
6.166667,68.3
6.200000,68.3
6.233333,68.3
6.266667,68.3
6.300000,68.3
6.333333,68.2
6.366667,68.2
6.400000,68.2
6.433333,68.2
6.466667,68.2
6.500000,68.2
6.533333,68.1
6.566667,68.1
6.600000,68.1
6.633333,68.1
6.666667,68.1
6.700000,68.1
6.733333,68.0
6.766667,68.0
