Data Set 1:Time(min),Data Set 1:Temperature(°C)
0.000000,66.1
0.033333,66.1
0.066667,66.2
0.100000,66.2
0.133333,66.2
0.166667,66.2
0.200000,66.2
0.233333,66.2
0.266667,66.2
0.300000,66.2
0.333333,66.1
0.366667,66.1
0.400000,66.1
0.433333,66.1
0.466667,66.0
0.500000,66.0
0.533333,66.0
0.566667,66.0
0.600000,66.0
0.633333,65.9
0.666667,65.9
0.700000,65.9
0.733333,65.8
0.766667,65.8
0.800000,65.8
0.833333,65.8
0.866667,65.8
0.900000,65.7
0.933333,65.7
0.966667,65.7
1.000000,65.7
1.033333,65.7
1.066667,65.6
1.100000,65.6
1.133333,65.6
1.166667,65.5
1.200000,65.5
1.233333,65.5
1.266667,65.5
1.300000,65.5
1.333333,65.5
1.366667,65.5
1.400000,65.5
1.433333,65.4
1.466667,65.4
1.500000,65.4
1.533333,65.4
1.566667,65.3
1.600000,65.3
1.633333,65.3
1.666667,65.3
1.700000,65.3
1.733333,65.2
1.766667,65.2
1.800000,65.2
1.833333,65.2
1.866667,65.2
1.900000,65.2
1.933333,65.2
1.966667,65.1
2.000000,65.1
2.033333,65.1
2.066667,65.1
2.100000,65.1
2.133333,65.0
2.166667,65.0
2.200000,65.0
2.233333,65.0
2.266667,65.0
2.300000,65.0
2.333333,64.9
2.366667,64.9
2.400000,64.9
2.433333,64.9
2.466667,64.9
2.500000,64.9
2.533333,64.9
2.566667,64.9
2.600000,64.8
2.633333,64.8
2.666667,64.8
2.700000,64.8
2.733333,64.8
2.766667,64.7
2.800000,64.7
2.833333,64.7
2.866667,64.7
2.900000,64.7
2.933333,64.7
2.966667,64.7
3.000000,64.7
3.033333,64.6
3.066667,64.6
3.100000,64.6
3.133333,64.6
3.166667,64.6
3.200000,64.6
3.233333,64.6
3.266667,64.5
3.300000,64.5
3.333333,64.5
3.366667,64.5
3.400000,64.5
3.433333,64.5
3.466667,64.4
3.500000,64.4
3.533333,64.4
3.566667,64.4
3.600000,64.4
3.633333,64.4
3.666667,64.4
3.700000,64.3
3.733333,64.3
3.766667,64.3
3.800000,64.3
3.833333,64.3
3.866667,64.3
3.900000,64.3
3.933333,64.3
3.966667,64.2
4.000000,64.2
4.033333,64.2
4.066667,64.2
4.100000,64.2
4.133333,64.2
4.166667,64.2
4.200000,64.1
4.233333,64.1
4.266667,64.1
4.300000,64.1
4.333333,64.1
4.366667,64.1
4.400000,64.1
4.433333,64.0
4.466667,64.0
4.500000,64.0
4.533333,64.0
4.566667,64.0
4.600000,64.0
4.633333,64.0
4.666667,63.9
4.700000,63.9
4.733333,63.9
4.766667,63.9
4.800000,63.9
4.833333,63.9
4.866667,63.9
4.900000,63.9
4.933333,63.8
4.966667,63.8
5.000000,63.8
5.033333,63.8
5.066667,63.8
5.100000,63.8
5.133333,63.8
5.166667,63.7
5.200000,63.7
5.233333,63.7
5.266667,63.7
5.300000,63.7
5.333333,63.7
5.366667,63.7
5.400000,63.7
5.433333,63.6
5.466667,63.6
5.500000,63.6
5.533333,63.6
5.566667,63.6
5.600000,63.6
5.633333,63.5
5.666667,63.5
5.700000,63.5
5.733333,63.5
5.766667,63.5
5.800000,63.5
5.833333,63.5
5.866667,63.5
5.900000,63.4
5.933333,63.5
5.966667,63.4
6.000000,63.4
6.033333,63.4
6.066667,63.4
6.100000,63.4
6.133333,63.4
6.166667,63.4
6.200000,63.4
6.233333,63.4
6.266667,63.3
6.300000,63.3
6.333333,63.3
6.366667,63.3
6.400000,63.3
6.433333,63.3
6.466667,63.3
6.500000,63.3
6.533333,63.3
6.566667,63.2
6.600000,63.2
6.633333,63.2
6.666667,63.2
6.700000,63.2
6.733333,63.2
6.766667,63.2
6.800000,63.1
6.833333,63.1
6.866667,63.1
6.900000,63.1
6.933333,63.1
6.966667,63.1
7.000000,63.1
7.033333,63.1
7.066667,63.1
7.100000,63.0
7.133333,63.0
7.166667,63.0
7.200000,63.0
7.233333,63.0
7.266667,63.0
7.300000,63.0
7.333333,62.9
7.366667,62.9
7.400000,62.9
7.433333,62.9
7.466667,62.9
7.500000,62.9
7.533333,62.9
7.566667,62.9
7.600000,62.9
7.633333,62.9
7.666667,62.8
7.700000,62.8
7.733333,62.8
7.766667,62.8
7.800000,62.8
7.833333,62.8
7.866667,62.8
7.900000,62.7
7.933333,62.7
7.966667,62.7
8.000000,62.7
8.033333,62.7
8.066667,62.7
8.100000,62.7
8.133333,62.7
8.166667,62.7
8.200000,62.7
8.233333,62.6
8.266667,62.6
8.300000,62.6
8.333333,62.6
8.366667,62.6
8.400000,62.6
8.433333,62.6
8.466667,62.6
8.500000,62.5
8.533333,62.5
8.566667,62.5
8.600000,62.5
8.633333,62.5
8.666667,62.5
8.700000,62.5
8.733333,62.4
8.766667,62.4
8.800000,62.4
8.833333,62.4
8.866667,62.4
8.900000,62.4
8.933333,62.4
8.966667,62.4
9.000000,62.4
9.033333,62.4
9.066667,62.3
9.100000,62.3
9.133333,62.3
9.166667,62.3
9.200000,62.3
9.233333,62.3
9.266667,62.3
9.300000,62.3
9.333333,62.3
9.366667,62.2
9.400000,62.2
9.433333,62.2
9.466667,62.2
9.500000,62.2
9.533333,62.2
9.566667,62.2
9.600000,62.2
9.633333,62.2
9.666667,62.1
9.700000,62.1
9.733333,62.1
9.766667,62.1
9.800000,62.1
9.833333,62.1
9.866667,62.1
9.900000,62.1
9.933333,62.1
9.966667,62.1
10.000000,62.0
10.033333,62.0
10.066667,62.0
10.100000,62.0
10.133333,62.0
10.166667,62.0
10.200000,62.0
10.233333,62.0
10.266667,61.9
10.300000,61.9
10.333333,61.9
10.366667,61.9
10.400000,61.9
10.433333,61.9
10.466667,61.9
10.500000,61.9
10.533333,61.9
10.566667,61.9
10.600000,61.8
10.633333,61.8
10.666667,61.8
10.700000,61.8
10.733333,61.8
10.766667,61.8
10.800000,61.8
10.833333,61.8
10.866667,61.8
10.900000,61.8
10.933333,61.8
10.966667,61.7
11.000000,61.7
11.033333,61.7
11.066667,61.7
11.100000,61.7
11.133333,61.7
11.166667,61.7
11.200000,61.6
11.233333,61.6
11.266667,61.6
11.300000,61.6
11.333333,61.6
11.366667,61.6
11.400000,61.6
11.433333,61.6
11.466667,61.6
11.500000,61.6
11.533333,61.6
11.566667,61.5
11.600000,61.5
11.633333,61.5
11.666667,61.5
11.700000,61.5
11.733333,61.5
11.766667,61.5
11.800000,61.5
11.833333,61.5
11.866667,61.4
11.900000,61.4
11.933333,61.4
11.966667,61.4
12.000000,61.4
12.033333,61.4
12.066667,61.4
12.100000,61.4
12.133333,61.4
12.166667,61.4
12.200000,61.4
12.233333,61.4
12.266667,61.3
12.300000,61.3
12.333333,61.3
12.366667,61.3
12.400000,61.3
12.433333,61.3
12.466667,61.3
12.500000,61.3
12.533333,61.2
12.566667,61.2
12.600000,61.2
12.633333,61.2
12.666667,61.2
12.700000,61.2
12.733333,61.2
12.766667,61.2
12.800000,61.2
12.833333,61.2
12.866667,61.2
12.900000,61.2
12.933333,61.1
12.966667,61.1
13.000000,61.1
13.033333,61.1
13.066667,61.1
13.100000,61.1
13.133333,61.1
13.166667,61.1
13.200000,61.1
13.233333,61.0
13.266667,61.1
13.300000,61.0
13.333333,61.0
13.366667,61.0
13.400000,61.0
13.433333,61.0
13.466667,61.0
13.500000,61.0
13.533333,61.0
13.566667,61.0
13.600000,60.9
13.633333,60.9
13.666667,60.9
13.700000,60.9
13.733333,60.9
13.766667,60.9
13.800000,60.9
13.833333,60.9
13.866667,60.9
13.900000,60.8
13.933333,60.8
13.966667,60.8
14.000000,60.8
14.033333,60.8
14.066667,60.8
14.100000,60.8
14.133333,60.8
14.166667,60.8
14.200000,60.8
14.233333,60.8
14.266667,60.8
14.300000,60.7
14.333333,60.7
14.366667,60.7
14.400000,60.7
14.433333,60.7
14.466667,60.7
14.500000,60.7
14.533333,60.7
14.566667,60.6
14.600000,60.7
14.633333,60.6
14.666667,60.6
14.700000,60.6
14.733333,60.6
14.766667,60.6
14.800000,60.6
14.833333,60.6
14.866667,60.6
14.900000,60.6
14.933333,60.6
14.966667,60.5
15.000000,60.5
15.033333,60.5
15.066667,60.5
15.100000,60.5
15.133333,60.5
15.166667,60.5
15.200000,60.5
15.233333,60.5
15.266667,60.5
15.300000,60.4
15.333333,60.4
15.366667,60.4
15.400000,60.4
15.433333,60.4
15.466667,60.4
15.500000,60.4
15.533333,60.4
15.566667,60.4
15.600000,60.4
15.633333,60.3
15.666667,60.4
15.700000,60.3
15.733333,60.3
15.766667,60.3
15.800000,60.3
15.833333,60.3
15.866667,60.3
15.900000,60.3
15.933333,60.3
15.966667,60.3
16.000000,60.3
16.033333,60.3
16.066667,60.3
16.100000,60.2
16.133333,60.2
16.166667,60.2
16.200000,60.2
16.233333,60.2
16.266667,60.2
16.300000,60.2
16.333333,60.2
16.366667,60.2
16.400000,60.2
16.433333,60.1
16.466667,60.1
16.500000,60.1
16.533333,60.1
16.566667,60.1
16.600000,60.1
16.633333,60.1
16.666667,60.1
16.700000,60.1
16.733333,60.1
16.766667,60.0
16.800000,60.0
16.833333,60.0
16.866667,60.0
16.900000,60.0
16.933333,60.0
16.966667,60.0
17.000000,60.0
17.033333,60.0
17.066667,60.0
17.100000,60.0
17.133333,60.0
17.166667,60.0
17.200000,59.9
17.233333,59.9
17.266667,59.9
17.300000,59.9
17.333333,59.9
17.366667,59.9
17.400000,59.9
17.433333,59.9
17.466667,59.9
17.500000,59.9
17.533333,59.8
17.566667,59.8
17.600000,59.8
17.633333,59.8
17.666667,59.8
17.700000,59.8
17.733333,59.8
17.766667,59.8
17.800000,59.8
17.833333,59.8
17.866667,59.8
17.900000,59.8
17.933333,59.7
17.966667,59.7
18.000000,59.7
18.033333,59.7
18.066667,59.7
18.100000,59.7
18.133333,59.7
18.166667,59.7
18.200000,59.7
18.233333,59.7
18.266667,59.7
18.300000,59.7
18.333333,59.6
18.366667,59.6
18.400000,59.6
18.433333,59.6
18.466667,59.6
18.500000,59.6
18.533333,59.6
18.566667,59.6
18.600000,59.6
18.633333,59.6
18.666667,59.6
18.700000,59.6
18.733333,59.6
18.766667,59.6
18.800000,59.5
18.833333,59.5
18.866667,59.5
18.900000,59.5
18.933333,59.5
