Data Set 1:Time(min),Data Set 1:Temperature(°C)
12.6,61.6
12.633333,61.7
12.666667,61.6
12.7,61.6
12.733333,61.6
12.766667,61.6
12.8,61.6
12.833333,61.6
12.866667,61.6
12.9,61.6
12.933333,61.6
12.966667,61.5
13,61.5
13.033333,61.5
13.066667,61.5
13.1,61.5
13.133333,61.5
13.166667,61.5
13.2,61.5
13.233333,61.5
13.266667,61.5
13.3,61.5
13.333333,61.4
13.366667,61.4
13.4,61.4
13.433333,61.4
13.466667,61.4
13.5,61.4
13.533333,61.4
13.566667,61.4
13.6,61.4
13.633333,61.3
13.666667,61.3
13.7,61.3
13.733333,61.3
13.766667,61.3
13.8,61.3
13.833333,61.3
13.866667,61.3
13.9,61.3
13.933333,61.3
13.966667,61.2
14,61.2
14.033333,61.2
14.066667,61.2
14.1,61.2
14.133333,61.2
14.166667,61.2
14.2,61.2
14.233333,61.2
14.266667,61.2
14.3,61.1
14.333333,61.1
14.366667,61.1
14.4,61.1
14.433333,61.1
14.466667,61.1
14.5,61.1
14.533333,61.1
14.566667,61.1
14.6,61.1
14.633333,61
14.666667,61
14.7,61
14.733333,61
14.766667,61
14.8,61
14.833333,61
14.866667,61
14.9,60.9
14.933333,61
14.966667,60.9
15,60.9
15.033333,60.9
15.066667,60.9
15.1,60.9
15.133333,60.9
15.166667,60.9
15.2,60.9
15.233333,60.9
15.266667,60.9
15.3,60.8
15.333333,60.8
15.366667,60.8
15.4,60.8
15.433333,60.8
15.466667,60.8
15.5,60.8
15.533333,60.8
15.566667,60.8
15.6,60.8
15.633333,60.7
15.666667,60.7
15.7,60.7
15.733333,60.7
15.766667,60.7
15.8,60.7
15.833333,60.7
15.866667,60.7
15.9,60.7
15.933333,60.7
15.966667,60.6
16,60.6
16.033333,60.6
16.066667,60.6
16.1,60.6
16.133333,60.6
16.166667,60.6
16.2,60.6
16.233333,60.6
16.266667,60.6
16.3,60.6
16.333333,60.5
16.366667,60.5
16.4,60.5
16.433333,60.5
16.466667,60.5
16.5,60.5
16.533333,60.5
16.566667,60.5
16.6,60.4
16.633333,60.5
16.666667,60.4
16.7,60.4
16.733333,60.4
16.766667,60.4
16.8,60.4
16.833333,60.4
16.866667,60.4
16.9,60.4
16.933333,60.4
16.966667,60.4
17,60.4
17.033333,60.3
17.066667,60.3
17.1,60.3
17.133333,60.3
17.166667,60.3
17.2,60.3
17.233333,60.3
17.266667,60.3
17.3,60.3
17.333333,60.3
17.366667,60.3
17.4,60.2
17.433333,60.2
17.466667,60.2
17.5,60.2
17.533333,60.2
17.566667,60.2
17.6,60.2
17.633333,60.2
17.666667,60.2
17.7,60.1
17.733333,60.1
17.766667,60.1
17.8,60.1
17.833333,60.1
17.866667,60.1
17.9,60.1
17.933333,60.1
17.966667,60.1
18,60.1
18.033333,60.1
18.066667,60
18.1,60
18.133333,60
18.166667,60
18.2,60
18.233333,60
