Data Set 1:Time(min),Data Set 1:Temperature(°C)
0.000000,72.9
0.033333,72.9
0.066667,72.9
0.100000,72.9
0.133333,72.9
0.166667,72.8
0.200000,72.8
0.233333,72.8
0.266667,72.8
0.300000,72.7
0.333333,72.7
0.366667,72.7
0.400000,72.7
0.433333,72.6
0.466667,72.6
0.500000,72.5
0.533333,72.5
0.566667,72.5
0.600000,72.5
0.633333,72.4
0.666667,72.4
0.700000,72.3
0.733333,72.3
0.766667,72.3
0.800000,72.2
0.833333,72.2
0.866667,72.2
0.900000,72.1
0.933333,72.1
0.966667,72.1
1.000000,72.1
1.033333,72.0
1.066667,72.0
1.100000,72.0
1.133333,71.9
1.166667,71.9
1.200000,71.9
1.233333,71.9
1.266667,71.8
1.300000,71.8
1.333333,71.8
1.366667,71.7
1.400000,71.7
1.433333,71.7
1.466667,71.7
1.500000,71.6
1.533333,71.6
1.566667,71.6
1.600000,71.6
1.633333,71.5
1.666667,71.5
1.700000,71.5
1.733333,71.5
1.766667,71.4
1.800000,71.4
1.833333,71.4
1.866667,71.4
1.900000,71.3
1.933333,71.3
1.966667,71.3
2.000000,71.3
2.033333,71.3
2.066667,71.2
2.100000,71.2
2.133333,71.2
2.166667,71.2
2.200000,71.1
2.233333,71.1
2.266667,71.1
2.300000,71.1
2.333333,71.0
2.366667,71.0
2.400000,71.0
2.433333,71.0
2.466667,71.0
2.500000,70.9
2.533333,70.9
2.566667,70.9
2.600000,70.9
2.633333,70.8
2.666667,70.8
2.700000,70.8
2.733333,70.8
2.766667,70.8
2.800000,70.7
2.833333,70.7
2.866667,70.7
2.900000,70.7
2.933333,70.7
2.966667,70.6
3.000000,70.6
3.033333,70.6
3.066667,70.6
3.100000,70.5
3.133333,70.5
3.166667,70.5
3.200000,70.5
3.233333,70.5
3.266667,70.4
3.300000,70.4
3.333333,70.4
3.366667,70.4
3.400000,70.4
3.433333,70.3
3.466667,70.3
3.500000,70.3
3.533333,70.3
3.566667,70.3
3.600000,70.2
