Data Set 1:Time(min),Data Set 1:Temperature(°C)
11.733333,60.0
11.766667,60.0
11.800000,60.0
11.833333,59.9
11.866667,59.9
11.900000,59.9
11.933333,59.9
11.966667,59.9
12.000000,59.9
12.033333,59.9
12.066667,59.9
12.100000,59.9
12.133333,59.9
12.166667,59.8
12.200000,59.8
12.233333,59.8
12.266667,59.8
12.300000,59.8
12.333333,59.8
12.366667,59.8
12.400000,59.8
12.433333,59.8
12.466667,59.8
12.500000,59.8
12.533333,59.8
12.566667,59.7
12.600000,59.7
12.633333,59.7
12.666667,59.7
12.700000,59.7
12.733333,59.7
12.766667,59.7
12.800000,59.7
12.833333,59.7
12.866667,59.7
12.900000,59.7
12.933333,59.6
12.966667,59.7
13.000000,59.6
13.033333,59.6
13.066667,59.6
13.100000,59.6
13.133333,59.6
13.166667,59.6
13.200000,59.6
13.233333,59.6
13.266667,59.5
13.300000,59.5
13.333333,59.5
13.366667,59.5
13.400000,59.5
13.433333,59.5
13.466667,59.5
13.500000,59.5
13.533333,59.5
13.566667,59.5
13.600000,59.4
13.633333,59.4
13.666667,59.4
13.700000,59.4
13.733333,59.4
13.766667,59.4
13.800000,59.4
13.833333,59.4
13.866667,59.4
13.900000,59.4
13.933333,59.4
13.966667,59.4
14.000000,59.4
14.033333,59.3
14.066667,59.3
14.100000,59.3
14.133333,59.3
14.166667,59.3
14.200000,59.3
14.233333,59.3
14.266667,59.3
14.300000,59.3
14.333333,59.3
14.366667,59.2
14.400000,59.3
14.433333,59.2
14.466667,59.2
14.500000,59.2
14.533333,59.2
14.566667,59.2
14.600000,59.2
14.633333,59.2
14.666667,59.2
14.700000,59.2
14.733333,59.2
14.766667,59.2
14.800000,59.1
14.833333,59.1
14.866667,59.1
14.900000,59.1
14.933333,59.1
14.966667,59.1
15.000000,59.1
15.033333,59.1
15.066667,59.1
15.100000,59.0
15.133333,59.1
15.166667,59.0
15.200000,59.0
15.233333,59.0
15.266667,59.0
15.300000,59.0
15.333333,59.0
15.366667,59.0
15.400000,59.0
15.433333,59.0
15.466667,59.0
15.500000,59.0
15.533333,59.0
15.566667,58.9
15.600000,58.9
15.633333,58.9
15.666667,58.9
15.700000,58.9
15.733333,58.9
15.766667,58.9
15.800000,58.9
15.833333,58.9
15.866667,58.8
15.900000,58.9
15.933333,58.8
15.966667,58.8
16.000000,58.8
16.033333,58.8
16.066667,58.8
16.100000,58.8
16.133333,58.8
16.166667,58.8
16.200000,58.8
16.233333,58.8
16.266667,58.7
16.300000,58.8
16.333333,58.7
16.366667,58.8
16.400000,58.7
16.433333,58.7
16.466667,58.7
16.500000,58.7
16.533333,58.7
16.566667,58.7
16.600000,58.7
16.633333,58.7
16.666667,58.7
16.700000,58.7
16.733333,58.6
16.766667,58.6
16.800000,58.6
